trial_number,XGB_N_ESTIMATORS,XGB_MAX_DEPTH,XGB_LEARNING_RATE,XGB_SUBSAMPLE,XGB_COLSAMPLE_BYTREE,XGB_REG_ALPHA,XGB_REG_LAMBDA,XGB_MIN_CHILD_WEIGHT,XGB_GAMMA,RMSE_mean,RMSE_std,DirectionalAccuracy_mean,DirectionalAccuracy_std,SpearmanRankCorr_mean,SpearmanRankCorr_std,TopKHitRate_mean,TopKHitRate_std,Months_evaluated_mean,CombinedScore_mean
16,400,2,0.014904014108833356,0.7508037069686584,0.6205915004999957,0.5572929284732229,4.633063543866615,8,0.1448948720912231,0.08197040252459545,0.013489440080806292,0.5200613400839014,0.0398244277701408,0.0028235349150260033,0.044986147641358866,0.2537719298245614,0.023216033626914538,18.0,0.35051585091598375
2,600,3,0.014965254242886725,0.6418481581956126,0.7168578594140873,0.7327236865873834,2.8242799368681437,17,0.19967378215835974,0.08196422169279391,0.013400321574560732,0.5192658846589969,0.03960988660532215,-0.007024320815609353,0.045433143085909164,0.25587719298245615,0.024019004023693606,18.0,0.34915027638696944
7,500,3,0.013221162405354047,0.6422772674924287,0.9208787923016158,0.14910128735954165,4.947547746402069,17,0.1987156815341724,0.08197443956998206,0.013408996496968553,0.520516143217276,0.04030183552489751,-0.011022255568690855,0.05168059924126158,0.2530116959064327,0.023085207341263462,18.0,0.3475786953411915
22,900,5,0.01579674954668221,0.6252419894985146,0.6646514856378455,1.7971083770541585,3.4257162386383597,5,0.1014715428660321,0.08208529939153121,0.013580737584841142,0.5189242034110505,0.038734582971555166,-0.0016068071705314258,0.040217093267088125,0.24921052631578947,0.016059793457701706,18.0,0.3474542664267056
35,700,3,0.006820546846311143,0.6469311128013258,0.7000971592658382,1.098453329412241,3.8583836908002493,15,0.27993389694594284,0.08189932484072102,0.01327329220354164,0.5200609522464829,0.0399453844972624,0.0032981391752326767,0.05322400163271339,0.24257309941520466,0.03566882950000195,18.0,0.3461371952429081
19,300,4,0.0075027068021560435,0.793551837122835,0.6697465716019966,1.381875476204932,2.5469413852021496,19,0.13752094414599325,0.08193443233695151,0.013370919345499716,0.5206296503017729,0.04042623533872454,-0.011213315334454663,0.04173507308796363,0.24707602339181287,0.01511338143555593,18.0,0.34520368410235663
29,900,2,0.012656361513845587,0.8632119215783867,0.8963074471016818,1.394031481990536,3.809936335948437,10,0.29359184426449336,0.08192950029948456,0.01330465453274251,0.5206291340646647,0.040334374035731126,0.0014122422661412472,0.05004998090620435,0.23953216374269007,0.038728150201140794,18.0,0.3447115182256513
23,700,2,0.006669649176310936,0.7646201368099759,0.8767580790770773,1.303922519005201,1.8970772378422391,16,0.23724908749680007,0.08193304927336355,0.013303947339012833,0.5199475735616756,0.040061443769734056,-0.011805106081536893,0.04277853265798893,0.24298245614035086,0.04149665221768462,18.0,0.34324339418225563
13,400,5,0.013141951020717808,0.8422320465492188,0.9584365199693973,0.6360069499437278,1.440207698110707,8,0.4271077886262563,0.08187291349953055,0.013227384996835371,0.5214248462889484,0.04114906615244458,-0.0006497498371273855,0.05192363572279535,0.23494152046783628,0.040090614378422276,18.0,0.3427064105327682
24,500,4,0.016013366997884686,0.8547670231482534,0.8630451569201374,1.1366172066709432,1.37469907131237,10,0.26520236768172545,0.08191141367887878,0.013285960132518709,0.5207427704283011,0.04041651547068973,-0.009134057777254938,0.039826078849285275,0.23628654970760232,0.04010825758528812,18.0,0.3413396486482144
10,300,4,0.019542307433613428,0.7683831592708489,0.9083868719818244,0.9875911927287815,3.0909313175279762,11,0.02541912674409519,0.08320975857274124,0.014658417268518145,0.5010789505394955,0.02355400673988321,-0.005093216304598963,0.04038789732248166,0.2488011695906433,0.024912512353753715,18.0,0.34114373269315545
15,500,4,0.017620778267449785,0.7090888807137882,0.9887128330883843,1.9248945898842225,2.0071291833014566,12,0.30087830981676966,0.08187309565090727,0.013256033453340305,0.5207427704283011,0.04041651547068973,-0.006256608795319268,0.06390780719215146,0.2335964912280702,0.05163048488699173,18.0,0.34084238872451034
4,500,2,0.01703753611652567,0.7320457481218804,0.6488152939379115,0.9903538202225404,1.1375540844608736,19,0.2587799816000169,0.08191450213118741,0.013268291117202123,0.5199478312405048,0.04025400738991308,-0.012997367336465254,0.048646595485490086,0.2363157894736842,0.039578672380599464,18.0,0.34033993703697885
31,800,5,0.009161811629489541,0.7126748857919832,0.6375927759363476,1.156560281992348,1.1437690951869683,12,0.5426446347075766,0.08175546871805914,0.013128346783004438,0.5226740732524611,0.04158061157563812,-0.008890454559100957,0.0698589642366489,0.22967836257309943,0.04636347337156505,18.0,0.3393378097737129
27,500,2,0.02638409819070802,0.7284552444951943,0.9866619276174678,1.9272399541785057,4.41203782186944,9,0.38509772860192526,0.08185349847827782,0.013227761997735767,0.5199480897987837,0.04016598924293648,-0.008269331391418864,0.06823422053066747,0.22912280701754387,0.04763922034204294,18.0,0.33841364069146684
9,700,3,0.00560309536288792,0.6932946965146987,0.7300733288106989,1.4592123566761281,3.5502298854208525,19,0.4722149251619493,0.0817662581154303,0.013124203708547546,0.5208558914342791,0.04010429158506692,-0.013853452965289536,0.07029074499660841,0.2274561403508772,0.045359750999141864,18.0,0.3369099446501984
17,600,5,0.007714816781929305,0.8016406642217636,0.9046478461314871,0.47527508798479934,3.9128653944474383,10,0.6323058305935795,0.08177769863296723,0.01313608030633107,0.5226740732524611,0.04158061157563812,-0.009742513283589717,0.07250009457605022,0.22190058479532165,0.04453757267493342,18.0,0.3360543872804549
1,700,2,0.028425398939327114,0.8497327922401265,0.6849356442713105,0.36364993441420124,1.7336180394137353,9,0.5247564316322378,0.08188029469535817,0.013246515531483774,0.5207418672332242,0.04020460027355962,-0.008747319561425635,0.06660081653511297,0.22023391812865495,0.040676865667940765,18.0,0.33499833131039436
28,800,3,0.006774246523072677,0.7670403787375051,0.9744619096643123,1.392059593349946,3.28024468035746,6,0.6150072266991697,0.08173954690272331,0.013103731158252807,0.5226740732524611,0.04158061157563812,-0.015232856719283866,0.07439378837812413,0.22187134502923977,0.04653391875700882,18.0,0.33494788295643096
18,700,4,0.005877993504265669,0.8505907486767714,0.7283120259886944,0.37303702079970846,1.1631005662190557,14,0.6775643618422824,0.08177035301945892,0.01312713231334737,0.5226740732524611,0.04158061157563812,-0.01615834505684873,0.07005837749291267,0.22187134502923977,0.04371474601533668,18.0,0.33476015272348436
25,400,5,0.010112522253118327,0.8676139665531339,0.8524554503989051,1.5896226070832968,3.0105483724207684,14,0.4925176938188639,0.08178354697578952,0.013146697765718501,0.5210835511195205,0.04040918656592096,-0.013968313616510153,0.06774973529427039,0.22076023391812866,0.04575859907772269,18.0,0.334275430471243
20,500,2,0.02621328803538685,0.8632018060142943,0.7031766510860622,1.319968092068358,4.268888800804863,13,0.5296505783560065,0.08178813474728117,0.013158636432192606,0.5208558914342791,0.04010429158506692,-0.017535517857088217,0.06614535596775366,0.22190058479532165,0.04453757267493342,18.0,0.3339494400385312
0,500,5,0.018559745019538266,0.779597545259111,0.6624074561769746,0.3119890406724053,1.2323344486727978,18,0.6011150117432088,0.08180698961094593,0.013146760479091586,0.5208560207134187,0.040050061677233885,-0.019268942016001062,0.07033428627064234,0.21967836257309942,0.040040414033739695,18.0,0.3327122939685776
38,400,2,0.026808138700557677,0.8986482752722804,0.7874820875551369,0.343172275011563,4.925124343828467,7,0.7926421099078278,0.08172269379830299,0.013080932392551588,0.5240377096160974,0.042907881158105884,-0.00984177793478189,0.08308183366928185,0.20570175438596489,0.025619650443247082,18.0,0.3299687936263199
6,700,5,0.0058590952117421715,0.6587948587257435,0.6180909155642152,0.6506606615265287,2.554709158757928,9,0.8287375091519293,0.08163028894900194,0.012970082665533442,0.5240377096160974,0.042907881158105884,0.008355814915524071,0.09657397344703389,0.19403508771929823,0.028234813536870608,18.0,0.32894954321787667
39,400,2,0.029038885939911573,0.8998087315924654,0.7693407352162309,0.20331586413439162,4.985845810026402,6,0.7728366533147124,0.08176111422115202,0.013124509290280816,0.5240377096160974,0.042907881158105884,-0.01929038680457251,0.06339697921399956,0.206812865497076,0.032012302970354234,18.0,0.32852023296454924
32,500,4,0.0052808497595429995,0.6112044566247643,0.9290402242638633,0.7203812828225258,1.5082420506075391,13,0.7699935530986108,0.08163914371090648,0.01297707304689537,0.5240377096160974,0.042907881158105884,-0.014415355737553074,0.06468626872220652,0.20406432748538011,0.04229019451320492,18.0,0.32840624813352226
30,800,5,0.023641956461579277,0.8739721657669415,0.8045369595443751,1.0030325893743992,4.193180715867101,15,0.7019668772577033,0.08178664446104753,0.013146218393319203,0.522333164161552,0.041277330129166415,-0.022823185043769564,0.0659647316616351,0.20847953216374265,0.03010187409642168,18.0,0.3279667947129072
36,400,2,0.028406421008370097,0.7040552674219865,0.7700652318239981,0.15918343708382893,4.891620750934275,7,0.7836296211490168,0.08178796495175726,0.01314013956228366,0.522333164161552,0.041277330129166415,-0.022248063542122262,0.07105518396026876,0.206812865497076,0.026813957581693276,18.0,0.327415039509555
3,600,4,0.005433947661434237,0.7822634555704315,0.6682096494749166,0.13010318597055903,4.7955421490133325,20,0.8083973481164611,0.08168829054076891,0.01303719358558905,0.5240377096160974,0.042907881158105884,-0.0071716932974444205,0.07848851181511135,0.1979239766081871,0.03186990312742399,18.0,0.32739463967397986
37,400,2,0.02722406798076315,0.6999823683050865,0.7737425087025644,0.28312661589656696,4.760342624736984,7,0.7961073858470548,0.08174299135587358,0.013091210247076174,0.522333164161552,0.041277330129166415,-0.017966057554863232,0.06701232987391303,0.19961988304093567,0.033899943451277254,18.0,0.3253980909103194
34,600,3,0.020784765837628522,0.6812496753786222,0.7755885682822544,0.15691276268453191,1.10140297366183,20,0.8359801205122058,0.0817420902046971,0.013076435888629483,0.522333164161552,0.041277330129166415,-0.01808179990818023,0.06752705804292242,0.19961988304093567,0.033899943451277254,18.0,0.32537501945013697
26,400,4,0.008269007184069022,0.6072947899294361,0.858188918362867,0.3542213588140979,4.761834337411657,20,0.9148643902204485,0.08160104377868072,0.012952081031109711,0.5250604368888248,0.04401583256285678,-0.015698393921577035,0.05740414919343522,0.19567251461988305,0.030585375359298072,18.0,0.3251029902095074
14,800,5,0.005062672258097654,0.7532241907732697,0.7669644012595116,0.4442156209414605,1.4794614693347312,10,0.9429097039125192,0.08161398646639602,0.012966365749276048,0.5250604368888248,0.04401583256285678,-0.018098658081162615,0.04834940877068868,0.19347953216374267,0.02763072804160298,18.0,0.32374463806413784
8,300,5,0.017742382194617125,0.8187021504122962,0.9085081386743783,0.14808930346818072,2.4338629141770904,6,0.8631034258755935,0.08174121837414224,0.013096021662641113,0.522333164161552,0.041277330129166415,-0.023699832488908435,0.05786191703886482,0.19403508771929823,0.026833639366189065,18.0,0.3220175693102608
12,400,2,0.008403117953477104,0.6483663861762013,0.9718790609370292,1.616240759128834,3.533615026041694,18,0.8036720768991145,0.08157727793274347,0.012922624825730622,0.528924073252461,0.04894503620368302,-0.04639523331579815,0.060582881296831904,0.19403508771929823,0.026833639366189065,18.0,0.31946977403470933
21,400,2,0.024953965381309135,0.8701254171489992,0.8532405829093072,0.6780595820974014,2.3968382984506436,16,0.8971102599525771,0.08170166545106963,0.013056912663421997,0.522333164161552,0.041277330129166415,-0.04294508452194214,0.05523711967710351,0.19347953216374267,0.02763072804160298,18.0,0.3179496769227652
33,400,4,0.005826171184808728,0.6155045163505823,0.8125418526272592,1.081270243220213,3.549719605992826,16,0.9758520794625346,0.081553359034978,0.01289973242915759,0.528924073252461,0.04894503620368302,-0.05461771617606947,,0.1939766081871345,0.020821762458245057,18.0,0.31780393037832166
11,300,2,0.015638444804668205,0.694306794322898,0.8034282764658811,1.815132947852186,1.9971689165954998,11,0.7555511385430487,0.08162085661741658,0.012961511155048563,0.5240377096160974,0.042907881158105884,-0.052698694904728324,0.05166844042786899,0.19514619883040935,0.028549491088297404,18.0,0.3171838919398025
5,700,3,0.012695844231167396,0.7640130838029839,0.6739417822102108,1.9391692555291171,4.100531293444458,20,0.8948273504276488,0.08154871663432497,0.012892926275424783,0.528924073252461,0.04894503620368302,,,0.1961988304093567,0.018783278437286676,18.0,
