n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,fold,train_start,train_end,val_start,val_end,RMSE,DirectionalAccuracy,SpearmanRankCorr_mean,TopKHitRate_mean,Months_evaluated,CombinedScore
300,4,10,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06352837113066086,0.47587849910661106,0.028914682314115966,0.2368421052631579,18,0.1725934330158243
300,4,10,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09542618582653703,0.5529549444119368,-0.003938508810618532,0.24356725146198832,18,0.17576966252612125
300,4,10,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09455060186337112,0.5426136363636364,-0.04590429379235919,0.2638888888888889,18,0.17049764456307437
300,4,10,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08489026685731704,0.4875283446712018,0.06425818729357242,0.2888888888888889,18,0.19770327349728117
300,4,10,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07250976951805611,0.5250284414106939,-0.0067116790990661805,0.26242690058479534,18,0.1806752298084394
300,4,10,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06357936803779923,0.4752829064919595,0.024175701061059998,0.25146198830409355,18,0.17639632886252976
300,4,10,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09566947505426246,0.5172615564657694,-0.022103502976899447,0.22587719298245615,18,0.15784955808193618
300,4,10,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0965382613650538,0.5409090909090909,-0.06511198624291763,0.25277777777777777,18,0.16106839157030023
300,4,10,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08502925229612687,0.4875283446712018,0.060393852457456355,0.27777777777777773,18,0.1928205038116013
300,4,10,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07282005737428149,0.5250284414106939,-0.02125803029538044,0.26242690058479534,18,0.17697658443811576
300,4,10,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06353410004680914,0.47647409172126265,0.028832235885065356,0.23976608187134504,18,0.1737141859611278
300,4,10,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09537383382486254,0.5558806319485079,-0.01404853488970346,0.22909356725146196,18,0.1687719744403149
300,4,10,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09476934087693872,0.5352272727272728,-0.052629872769977985,0.25833333333333336,18,0.16535078484423898
300,4,10,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.0849255591832648,0.4897959183673469,0.058525563893146816,0.27777777777777785,18,0.1928276850323254
300,4,10,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07252059763445631,0.5261660978384528,-0.002222367607219253,0.270906432748538,18,0.18499075960098277
300,4,10,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06357679746025402,0.47647409172126265,0.026514771026549564,0.2426900584795322,18,0.17414967207667537
300,4,10,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09563598372879599,0.5178466939730837,-0.020418294281945665,0.22573099415204678,18,0.1583434164315875
300,4,10,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09633748185228966,0.5409090909090909,-0.05536948792514259,0.25555555555555554,18,0.16451639427451903
300,4,10,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08500018619352508,0.4875283446712018,0.06650930111491929,0.2861111111111111,18,0.19727184586315405
300,4,10,40,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07272501978784959,0.5255972696245734,-0.019185610135421406,0.26242690058479534,18,0.17762746263816775
300,4,20,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06368957176839382,0.47409172126265636,0.02917809526927664,0.24269005847953215,18,0.17431647418400792
300,4,20,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09481168079359019,0.5547103569338795,-0.01440398583265069,0.23801169590643273,18,0.17168283233714665
300,4,20,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09469465488083598,0.5346590909090909,-0.052215552794489764,0.26666666666666666,18,0.16827233234036187
300,4,20,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08491739851329011,0.48922902494331066,0.060598976651995796,0.275,18,0.19226206944900306
300,4,20,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07253711953874166,0.5255972696245734,-0.005079295210136858,0.2764619883040936,18,0.1861039021210649
300,4,20,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06372694234533859,0.48183442525312686,0.029053321428173986,0.23684210526315785,18,0.1737795637807064
300,4,20,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09508577928939854,0.5231129315389117,-0.014210627382277817,0.21754385964912282,18,0.15819312448152617
300,4,20,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0963922049798242,0.5409090909090909,-0.05932201288740283,0.26666666666666666,18,0.16740620729733596
300,4,20,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08499552542990699,0.48696145124716556,0.06572112940287923,0.2888888888888889,18,0.19793457862528263
300,4,20,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.0727926280022126,0.5261660978384528,-0.017364170473593978,0.27353801169590647,18,0.18207195544241683
300,4,20,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06368957176839382,0.47409172126265636,0.02917809526927664,0.24269005847953215,18,0.17431647418400792
300,4,20,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09481168079359019,0.5547103569338795,-0.01440398583265069,0.23801169590643273,18,0.17168283233714665
300,4,20,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09469465488083598,0.5346590909090909,-0.052215552794489764,0.26666666666666666,18,0.16827233234036187
300,4,20,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08491739851329011,0.48922902494331066,0.060598976651995796,0.275,18,0.19226206944900306
300,4,20,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07253711953874166,0.5255972696245734,-0.005079295210136858,0.2764619883040936,18,0.1861039021210649
300,4,20,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06372694234533859,0.48183442525312686,0.029053321428173986,0.23684210526315785,18,0.1737795637807064
300,4,20,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09508577928939854,0.5231129315389117,-0.014210627382277817,0.21754385964912282,18,0.15819312448152617
300,4,20,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.0963922049798242,0.5409090909090909,-0.05932201288740283,0.26666666666666666,18,0.16740620729733596
300,4,20,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08499552542990699,0.48696145124716556,0.06572112940287923,0.2888888888888889,18,0.19793457862528263
300,4,20,40,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.0727926280022126,0.5261660978384528,-0.017364170473593978,0.27353801169590647,18,0.18207195544241683
300,4,30,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06378996522288606,0.47409172126265636,0.027582461765660055,0.23976608187134504,18,0.17287409530433984
300,4,30,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09462090194705189,0.5482738443534231,-0.006593189519341022,0.2409356725146199,18,0.17340977648155595
300,4,30,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09471905818389116,0.5340909090909091,-0.05288625021370923,0.26111111111111107,18,0.16604169651686512
300,4,30,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08494458884884645,0.4880952380952381,0.06448098347951071,0.2888888888888889,18,0.1978614868302671
300,4,30,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07249494686927216,0.5284414106939704,-0.011680098667216756,0.2707602339181287,18,0.1830353499694805
300,4,30,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06382891210295992,0.4800476474091721,0.026206402772777682,0.23684210526315785,18,0.17269008459654211
300,4,30,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09499268417627074,0.5201872440023405,-0.016312143373396218,0.21184210526315786,18,0.15510561296397016
300,4,30,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09643340954135851,0.5301136363636364,-0.0659786641929499,0.2666666666666667,18,0.16357471264955145
300,4,30,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.0850875098243095,0.48696145124716556,0.058850472490125934,0.29444444444444445,18,0.19814296196265824
300,4,30,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07267458060541962,0.5255972696245734,-0.012781431683179155,0.2735380116959064,18,0.18312748397660322
300,4,30,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06378996522288606,0.47409172126265636,0.027582461765660055,0.23976608187134504,18,0.17287409530433984
300,4,30,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09462090194705189,0.5482738443534231,-0.006593189519341022,0.2409356725146199,18,0.17340977648155595
300,4,30,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09471905818389115,0.5340909090909091,-0.05288625021370923,0.26111111111111107,18,0.16604169651686512
300,4,30,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08494458884884645,0.4880952380952381,0.06448098347951071,0.2888888888888889,18,0.1978614868302671
300,4,30,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07249494686927216,0.5284414106939704,-0.011680098667216756,0.2707602339181287,18,0.1830353499694805
300,4,30,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06382891210295992,0.4800476474091721,0.026206402772777682,0.23684210526315785,18,0.17269008459654211
300,4,30,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09499268417627074,0.5201872440023405,-0.016312143373396218,0.21184210526315786,18,0.15510561296397016
300,4,30,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09643340954135851,0.5301136363636364,-0.0659786641929499,0.2666666666666667,18,0.16357471264955145
300,4,30,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.0850875098243095,0.48696145124716556,0.058850472490125934,0.29444444444444445,18,0.19814296196265824
300,4,30,40,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07267458060541962,0.5255972696245734,-0.012781431683179155,0.2735380116959064,18,0.18312748397660322
300,6,10,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06379111062548841,0.47647409172126265,0.016638531874770095,0.23391812865497075,18,0.16856757421708712
300,6,10,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.0959218041570428,0.5149210064365126,-0.027014737945664422,0.2260233918128655,18,0.15615434310398077
300,6,10,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09551189592312588,0.5363636363636364,-0.04063940477784365,0.26388888888888895,18,0.17037160800475232
300,6,10,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08505506309512204,0.4875283446712018,0.05655828925342916,0.2888888888888889,18,0.19574533973968436
300,6,10,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07263926693103799,0.5301478953356087,-0.016731803157251375,0.262719298245614,18,0.1792705292775662
300,6,10,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06391258108060256,0.4663490172721858,0.012215680858655906,0.2222222222222222,18,0.16131898523075838
300,6,10,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09623713300690206,0.5038033937975425,-0.03096697917831724,0.21140350877192982,18,0.1477627354337242
300,6,10,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09740616298653323,0.5136363636363637,-0.05932185042089312,0.26666666666666666,18,0.16174891085807613
300,6,10,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08522898900567899,0.48922902494331066,0.062433012359374644,0.2888888888888889,18,0.1975193713884811
300,6,10,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07292231701442163,0.5250284414106939,-0.018481641984181015,0.26242690058479534,18,0.17765022958788756
300,6,10,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.0637405959193563,0.4734961286480048,0.019394556453087117,0.24269005847953215,18,0.17174126612683774
300,6,10,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09586418153838415,0.5166764189584553,-0.02661456378855377,0.2347953216374269,18,0.1596871691099752
300,6,10,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09534894488497336,0.5335227272727273,-0.04647966001979257,0.26666666666666666,18,0.16934817480593597
300,6,10,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08501647021709655,0.48922902494331066,0.06431309376817478,0.2888888888888889,18,0.19803189549839761
300,6,10,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.0725914040752523,0.5290102389078498,-0.00839790194742681,0.2736842105263158,18,0.18497376516387332
300,6,10,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06390840191977638,0.47170935080405,0.01739697635240183,0.21052631578947367,18,0.159593644391271
300,6,10,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09617218699784602,0.5002925687536571,-0.03119471006207199,0.21388888888888888,18,0.14788650994675534
300,6,10,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09699615590160643,0.5261363636363636,-0.05286768200980276,0.26666666666666666,18,0.16594445437783406
300,6,10,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08516555201463365,0.48922902494331066,0.06763441237676036,0.28611111111111115,18,0.19786018656881438
300,6,10,40,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07287240739748259,0.5227531285551763,-0.010139121682462239,0.2736842105263158,18,0.1832308374951337
300,6,20,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.0640073879099231,0.47468731387730795,0.018220127035221526,0.22514619883040934,18,0.16549218654292563
300,6,20,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09532532102651346,0.5184318314803978,-0.023791271436698718,0.24663742690058474,18,0.16499658364680686
300,6,20,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09556258722904343,0.5318181818181819,-0.049613623435420195,0.275,18,0.17109771305897264
300,6,20,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08501725164266745,0.49263038548752835,0.06309677885524717,0.29166666666666674,18,0.19938015481611732
300,6,20,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07256910822752695,0.5301478953356087,-0.002753563055762127,0.26842105263157895,18,0.18477473507872844
300,6,20,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06410992632755567,0.4782608695652174,0.018449016942127607,0.21929824561403508,18,0.1641968288479765
300,6,20,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09549542662026243,0.51316559391457,-0.021973242548937802,0.22046783625730992,18,0.15520446551168554
300,6,20,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09695748671857754,0.522159090909091,-0.05662974864005791,0.2833333333333334,18,0.17004955034475489
300,6,20,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08515950172449221,0.49036281179138325,0.06647795013038017,0.2888888888888889,18,0.19877126065708436
300,6,20,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.072812072308764,0.5255972696245734,-0.009470967628175876,0.2707602339181287,18,0.18295537942746296
300,6,20,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.0640073879099231,0.47468731387730795,0.018220127035221526,0.22514619883040934,18,0.16549218654292563
300,6,20,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09532532102651346,0.5184318314803978,-0.023791271436698718,0.24663742690058474,18,0.16499658364680686
300,6,20,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09556258722904343,0.5318181818181819,-0.049613623435420195,0.275,18,0.17109771305897264
300,6,20,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08501725164266745,0.49263038548752835,0.06309677885524717,0.29166666666666674,18,0.19938015481611732
300,6,20,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07256910822752695,0.5301478953356087,-0.002753563055762127,0.26842105263157895,18,0.18477473507872844
300,6,20,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06410992632755567,0.4782608695652174,0.018449016942127607,0.21929824561403508,18,0.1641968288479765
300,6,20,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09549542662026243,0.51316559391457,-0.021973242548937802,0.22046783625730992,18,0.15520446551168554
300,6,20,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09695748671857753,0.522159090909091,-0.05662974864005791,0.2833333333333334,18,0.17004955034475489
300,6,20,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08515950172449221,0.49036281179138325,0.06647795013038017,0.2888888888888889,18,0.19877126065708436
300,6,20,40,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.072812072308764,0.5255972696245734,-0.009470967628175876,0.2707602339181287,18,0.18295537942746296
300,6,30,20,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06406025013684653,0.4752829064919595,0.009763087574536762,0.23391812865497075,18,0.16655664819389654
300,6,30,20,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09503923964892799,0.5219426565242832,-0.01716990976303932,0.2320175438596491,18,0.1622943462851884
300,6,30,20,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09544324948054117,0.525,-0.05150273688565295,0.27222222222222225,18,0.16831344366025633
300,6,30,20,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08500165887788588,0.4937641723356009,0.06974152776803734,0.2888888888888889,18,0.20029899574466345
300,6,30,20,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07246950384761565,0.5295790671217292,-0.004583519493379274,0.26535087719298245,18,0.18314883979902175
300,6,30,20,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06424935095731803,0.478856462179869,0.014125372263234301,0.21637426900584794,18,0.16218375946236555
300,6,30,20,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09527220833470555,0.5014628437682855,-0.0270680559491666,0.21461988304093566,18,0.1495880721637518
300,6,30,20,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09712134067839022,0.5113636363636364,-0.06675165640555919,0.2722222222222222,18,0.1614383228134372
300,6,30,20,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08519160322293057,0.4897959183673469,0.06772826802281884,0.3027777777777778,18,0.20382515225681022
300,6,30,20,0.5,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07270257885908415,0.5238907849829352,-0.01513502541984408,0.254093567251462,18,0.17538663340782087
300,6,30,40,sqrt,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06406025013684653,0.4752829064919595,0.009763087574536762,0.23391812865497075,18,0.16655664819389654
300,6,30,40,sqrt,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09503923964892798,0.5219426565242832,-0.01716990976303932,0.2320175438596491,18,0.1622943462851884
300,6,30,40,sqrt,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09544324948054117,0.525,-0.05150273688565295,0.27222222222222225,18,0.16831344366025633
300,6,30,40,sqrt,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08500165887788588,0.4937641723356009,0.06974152776803734,0.2888888888888889,18,0.20029899574466345
300,6,30,40,sqrt,5,2015-12-31,2023-05-31,2023-06-30,2024-11-30,0.07246950384761565,0.5295790671217292,-0.004583519493379274,0.26535087719298245,18,0.18314883979902175
300,6,30,40,0.5,1,2015-12-31,2017-05-31,2017-06-30,2018-11-30,0.06424935095731803,0.478856462179869,0.014125372263234301,0.21637426900584794,18,0.16218375946236555
300,6,30,40,0.5,2,2015-12-31,2018-11-30,2018-12-31,2020-05-31,0.09527220833470555,0.5014628437682855,-0.0270680559491666,0.21461988304093566,18,0.1495880721637518
300,6,30,40,0.5,3,2015-12-31,2020-05-31,2020-06-30,2021-11-30,0.09712134067839022,0.5113636363636364,-0.06675165640555919,0.2722222222222222,18,0.1614383228134372
300,6,30,40,0.5,4,2015-12-31,2021-11-30,2021-12-31,2023-05-31,0.08519160322293057,0.4897959183673469,0.06772826802281884,0.3027777777777778,18,0.20382515225681022
